"","spam","to_multiple","from","cc","sent_email","image","attach","dollar","winner","inherit","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number"
"1",0,"no","yes","no","no","no","no","no","no","no","no",11.37,202,"HTML","no","no","no",0,"big"
"2",0,"no","yes","no","no","no","no","no","no","no","no",10.504,202,"HTML","no","no","no",1,"small"
"3",0,"no","yes","no","no","no","no","yes","no","yes","no",7.773,192,"HTML","no","no","no",6,"small"
"4",0,"no","yes","no","no","no","no","no","no","no","no",13.256,255,"HTML","no","no","no",48,"small"
"5",0,"no","yes","no","no","no","no","no","no","no","yes",1.231,29,"Plain","no","no","no",1,"none"
"6",0,"no","yes","no","no","no","no","no","no","no","yes",1.091,25,"Plain","no","no","no",1,"none"
"7",0,"yes","yes","no","yes","no","no","no","no","no","no",4.837,193,"HTML","no","no","no",1,"big"
"8",0,"yes","yes","yes","yes","yes","yes","no","no","no","no",7.421,237,"HTML","no","no","no",18,"small"
"9",0,"no","yes","no","no","no","no","no","no","no","no",3.051,69,"Plain","no","no","no",1,"small"
"10",0,"no","yes","no","no","no","no","no","no","no","no",2.643,68,"HTML","no","no","no",0,"small"
"11",0,"no","yes","no","yes","no","no","no","no","no","no",0.869,25,"HTML","no","no","no",2,"small"
"12",0,"no","yes","yes","no","no","no","no","no","no","no",4.02,79,"Plain","yes","no","no",1,"small"
"13",0,"no","yes","no","no","no","no","no","no","no","no",10.459,191,"HTML","no","no","no",0,"big"
"14",0,"no","yes","yes","yes","no","no","no","no","no","no",15.075,354,"HTML","yes","no","no",10,"small"
"15",0,"no","yes","yes","no","no","no","yes","no","no","no",19.693,330,"HTML","yes","no","no",4,"big"
"16",0,"no","yes","yes","yes","no","no","no","no","no","no",18.38,481,"HTML","yes","no","no",10,"small"
"17",0,"no","yes","no","no","no","no","yes","no","no","yes",18.037,345,"HTML","no","yes","no",20,"small"
"18",0,"no","yes","yes","no","no","no","no","no","no","no",13.89,225,"HTML","yes","no","no",0,"small"
"19",0,"no","yes","no","yes","no","no","no","no","no","no",0.596,33,"Plain","yes","no","no",2,"small"
"20",0,"no","yes","no","no","no","no","no","no","no","no",4.56,64,"HTML","no","no","no",0,"none"
"21",0,"no","yes","no","no","no","no","no","no","no","no",2.192,85,"HTML","no","no","no",3,"big"
"22",0,"no","yes","no","no","yes","yes","yes","no","no","no",11.453,344,"HTML","no","no","no",4,"big"
"23",0,"no","yes","no","no","no","no","yes","no","no","no",16.647,560,"HTML","no","no","no",3,"small"
"24",0,"no","yes","no","yes","no","no","no","no","no","no",0.2,10,"Plain","yes","no","no",0,"small"
"25",0,"no","yes","no","no","no","no","no","no","no","no",4.938,69,"HTML","no","no","no",0,"none"
"26",0,"no","yes","no","no","no","no","no","no","no","no",2.228,45,"Plain","yes","no","no",1,"small"
"27",0,"no","yes","yes","no","no","no","no","no","no","no",3.959,81,"Plain","yes","no","no",1,"small"
"28",0,"no","yes","yes","no","no","no","no","no","no","no",4.549,67,"Plain","yes","no","no",1,"small"
"29",0,"no","yes","no","no","no","no","no","no","no","no",0.506,18,"Plain","no","no","no",0,"none"
"30",0,"no","yes","no","no","no","no","no","no","no","no",2.207,57,"HTML","no","no","no",5,"small"
"31",0,"no","yes","yes","yes","no","yes","no","no","no","no",0.235,17,"Plain","no","no","no",0,"none"
"32",0,"yes","yes","yes","no","no","no","no","no","no","no",7.813,97,"Plain","yes","no","no",1,"small"
"33",0,"yes","yes","yes","no","no","no","no","no","no","no",10.614,118,"Plain","yes","no","no",1,"small"
"34",0,"yes","yes","yes","no","no","no","no","no","no","no",31.644,569,"HTML","yes","no","no",2,"big"
"35",0,"no","yes","no","no","no","no","no","no","no","no",1.566,39,"Plain","yes","no","no",3,"small"
"36",0,"no","yes","yes","no","no","no","no","no","no","no",45.842,881,"HTML","yes","no","no",5,"big"
"37",0,"no","yes","no","no","no","no","no","no","no","no",2.317,30,"Plain","no","no","no",0,"big"
"38",0,"yes","yes","yes","no","no","no","no","no","no","no",13.788,169,"Plain","yes","no","no",3,"small"
"39",0,"yes","yes","no","no","no","no","no","no","no","no",2.196,57,"HTML","yes","no","no",1,"small"
"40",0,"no","yes","yes","no","no","no","no","no","no","no",11.438,125,"Plain","yes","no","no",2,"small"
"41",0,"no","yes","yes","no","no","no","no","no","no","no",12.268,259,"Plain","yes","no","no",2,"small"
"42",0,"no","yes","no","no","no","no","no","no","no","no",1.541,51,"Plain","no","no","no",3,"small"
"43",0,"yes","yes","yes","no","no","no","no","no","yes","no",33.451,558,"HTML","yes","no","no",6,"big"
"44",0,"no","yes","yes","no","no","no","no","no","no","no",13.266,269,"Plain","yes","no","no",2,"small"
"45",0,"no","yes","yes","no","no","no","no","no","no","no",0.334,9,"Plain","yes","no","no",0,"small"
"46",0,"yes","yes","no","yes","no","no","yes","no","no","no",45.966,1231,"HTML","yes","yes","no",29,"small"
"47",0,"yes","yes","yes","no","no","no","no","no","no","no",8.718,185,"Plain","yes","no","no",3,"small"
"48",0,"no","yes","no","no","no","no","no","no","no","no",1.482,24,"HTML","no","no","no",0,"none"
"49",0,"no","yes","no","no","no","no","no","no","no","no",8.549,154,"HTML","no","no","no",4,"small"
"50",0,"no","yes","no","no","no","no","no","no","no","no",14.431,296,"HTML","no","no","no",0,"small"
"51",0,"no","yes","no","no","no","no","yes","no","no","no",24.167,417,"HTML","no","yes","no",32,"small"
"52",0,"no","yes","no","no","no","no","no","no","no","yes",1.143,13,"Plain","no","no","no",1,"none"
"53",0,"no","yes","no","no","no","no","yes","no","no","no",15.517,350,"HTML","no","yes","no",2,"small"
"54",0,"no","yes","no","yes","no","no","yes","no","no","no",9.535,182,"HTML","yes","no","no",4,"small"
"55",0,"no","yes","no","yes","no","no","yes","no","no","no",14.241,308,"HTML","yes","no","no",6,"small"
"56",0,"no","yes","no","no","no","no","yes","no","no","no",0.978,13,"Plain","no","no","no",0,"small"
"57",0,"no","yes","no","no","no","no","no","no","no","no",7.472,207,"HTML","no","no","no",0,"big"
"58",0,"no","yes","no","yes","no","no","no","no","no","no",1.398,41,"Plain","no","no","no",1,"none"
"59",0,"no","yes","no","no","no","no","yes","no","yes","no",7.792,192,"HTML","no","no","no",6,"small"
"60",0,"no","yes","no","no","no","no","no","no","no","yes",0.978,14,"Plain","no","no","no",0,"small"
"61",0,"no","yes","no","no","no","no","no","no","no","no",10.09,166,"HTML","no","no","no",1,"small"
"62",0,"yes","yes","no","no","no","no","no","no","no","no",5.159,95,"Plain","no","no","no",0,"small"
"63",0,"no","yes","no","no","no","no","yes","no","no","no",29.981,555,"HTML","no","no","no",15,"small"
"64",0,"no","yes","no","no","no","no","yes","no","no","no",18.945,249,"HTML","no","yes","no",16,"small"
"65",0,"no","yes","no","yes","no","no","no","no","no","no",15.42,595,"HTML","no","no","no",9,"big"
"66",0,"yes","yes","no","no","no","no","no","no","no","no",2.018,32,"Plain","yes","no","no",0,"small"
